Date,Time,Acc,Gyro
2025-02-07,14:29:39,"0.25, -0.10, 0.97","-0.24, -0.31, -0.24"
2025-02-07,14:29:40,"0.25, -0.10, 0.98","-0.24, -0.31, -0.24"
2025-02-07,14:29:40,"0.25, -0.10, 0.97","-0.43, -0.31, -0.18"
2025-02-07,14:29:41,"0.25, -0.10, 0.98","-0.37, -0.31, -0.18"
2025-02-07,14:29:41,"0.25, -0.10, 0.98","-0.24, -0.31, -0.24"
2025-02-07,14:29:42,"0.25, -0.10, 0.98","-0.43, -0.31, -0.18"
2025-02-07,14:29:42,"0.25, -0.10, 0.98","-0.37, -0.31, -0.18"
2025-02-07,14:29:43,"0.25, -0.10, 0.98","-0.43, -0.31, -0.24"
2025-02-07,14:29:43,"0.25, -0.10, 0.98","-0.24, -0.31, -0.18"
2025-02-07,14:29:44,"0.25, -0.10, 0.98","-0.37, -0.31, -0.18"
2025-02-07,14:29:44,"0.25, -0.10, 0.98","-0.37, -0.24, -0.24"
2025-02-07,14:29:45,"0.25, -0.10, 0.98","-0.31, -0.24, -0.24"
2025-02-07,14:29:45,"0.25, -0.10, 0.98","-0.43, -0.31, -0.18"
2025-02-07,14:29:46,"0.25, -0.10, 0.98","-0.37, -0.31, -0.18"
2025-02-07,14:29:46,"0.25, -0.10, 0.98","-0.24, -0.31, -0.18"
2025-02-07,14:29:47,"0.25, -0.10, 0.98","-0.37, -0.31, -0.18"
2025-02-07,14:29:47,"0.25, -0.10, 0.98","-0.37, -0.31, -0.24"
2025-02-07,14:29:48,"0.25, -0.10, 0.98","-0.31, -0.31, -0.18"
2025-02-07,14:29:48,"0.25, -0.10, 0.98","-0.37, -0.31, -0.18"
2025-02-07,14:29:49,"0.25, -0.10, 0.98","-0.37, -0.31, -0.24"
2025-02-07,14:29:49,"0.25, -0.10, 0.98","-0.43, -0.31, -0.18"
2025-02-07,14:29:50,"0.25, -0.10, 0.98","-0.31, -0.24, -0.18"
2025-02-07,14:29:50,"0.25, -0.10, 0.98","-0.37, -0.31, -0.18"
2025-02-07,14:29:51,"0.25, -0.10, 0.98","-0.37, -0.31, -0.24"
2025-02-07,14:29:51,"0.25, -0.10, 0.98","-0.37, -0.31, -0.24"
2025-02-07,14:29:52,"0.25, -0.10, 0.98","-0.37, -0.31, -0.18"
2025-02-07,14:29:52,"0.25, -0.10, 0.98","-0.31, -0.31, -0.18"
2025-02-07,14:29:53,"0.25, -0.10, 0.98","-0.37, -0.31, -0.24"
2025-02-07,14:29:53,"0.25, -0.10, 0.98","-0.31, -0.31, -0.18"
2025-02-07,14:29:54,"0.25, -0.10, 0.98","-0.31, -0.31, -0.18"
2025-02-07,14:29:54,"0.25, -0.10, 0.98","-0.37, -0.37, -0.18"
2025-02-07,14:29:55,"0.25, -0.10, 0.98","-0.31, -0.24, -0.18"
2025-02-07,14:29:55,"0.25, -0.10, 0.98","-0.37, -0.31, -0.18"
2025-02-07,14:29:56,"0.25, -0.10, 0.98","-0.37, -0.31, -0.24"
2025-02-07,14:29:56,"0.25, -0.10, 0.98","-0.37, -0.31, -0.18"
2025-02-07,14:29:57,"0.25, -0.10, 0.98","-0.18, -0.24, -0.24"
2025-02-07,14:29:57,"0.25, -0.10, 0.98","-0.49, -0.31, -0.18"
2025-02-07,14:29:58,"0.25, -0.10, 0.98","-0.31, -0.24, -0.24"
2025-02-07,14:29:58,"0.25, -0.10, 0.98","-0.18, -0.24, -0.24"
2025-02-07,14:29:59,"0.25, -0.10, 0.98","-0.43, -0.31, -0.18"
2025-02-07,14:29:59,"0.25, -0.10, 0.98","-0.24, -0.24, -0.18"
2025-02-07,14:30:00,"0.25, -0.10, 0.98","-0.49, -0.31, -0.18"
2025-02-07,14:30:00,"0.25, -0.10, 0.98","-0.31, -0.31, -0.24"
2025-02-07,14:30:01,"0.25, -0.10, 0.98","-0.43, -0.31, -0.18"
2025-02-07,14:30:01,"0.25, -0.09, 0.98","-0.43, -0.31, -0.18"
2025-02-07,14:30:02,"0.25, -0.10, 0.98","-0.43, -0.31, -0.24"
2025-02-07,14:30:02,"0.25, -0.10, 0.98","-0.31, -0.31, -0.18"
2025-02-07,14:30:03,"0.25, -0.10, 0.98","-0.37, -0.24, -0.18"
2025-02-07,14:30:03,"0.25, -0.10, 0.98","-0.37, -0.31, -0.18"
2025-02-07,14:30:04,"0.25, -0.10, 0.98","-0.31, -0.31, -0.24"
2025-02-07,14:30:04,"0.25, -0.10, 0.98","-0.49, -0.24, -0.18"
2025-02-07,14:30:05,"0.25, -0.10, 0.98","-0.37, -0.31, -0.24"
2025-02-07,14:30:05,"0.25, -0.09, 0.98","-0.43, -0.31, -0.18"
2025-02-07,14:30:06,"0.25, -0.09, 0.98","-0.24, -0.31, -0.24"
2025-02-07,14:30:06,"0.25, -0.09, 0.98","-0.43, -0.31, -0.18"
2025-02-07,14:30:07,"0.25, -0.10, 0.98","-3.23, -0.37, 0.31"
2025-02-07,14:30:07,"-0.43, -0.90, 0.31","563.23, -97.84, -181.76"
2025-02-07,14:30:08,"0.16, -0.04, 1.04","111.15, 63.72, -2.75"
2025-02-07,14:30:08,"0.19, -0.14, 0.98","0.49, 0.00, -0.12"
2025-02-07,14:30:09,"0.19, -0.13, 0.99","1.28, -0.06, -0.37"
2025-02-07,14:30:09,"0.19, -0.12, 0.99","0.12, -0.24, -0.24"
2025-02-07,14:30:10,"0.19, -0.12, 0.99","-0.06, -0.24, -0.24"
2025-02-07,14:30:10,"0.19, -0.12, 0.99","-0.18, -0.31, -0.24"
2025-02-07,14:30:11,"0.19, -0.12, 0.99","0.00, -0.24, -0.31"
2025-02-07,14:30:11,"0.19, -0.11, 0.99","-0.24, -0.31, -0.18"
2025-02-07,14:30:12,"0.19, -0.11, 0.99","-0.24, -0.24, -0.24"
2025-02-07,14:30:12,"0.19, -0.11, 0.99","-0.31, -0.24, -0.24"
2025-02-07,14:30:13,"0.19, -0.11, 0.99","-0.31, -0.31, -0.18"
2025-02-07,14:30:13,"0.19, -0.11, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:30:14,"0.19, -0.11, 0.99","-0.43, -0.31, -0.24"
2025-02-07,14:30:14,"0.19, -0.11, 0.99","-0.24, -0.31, -0.24"
2025-02-07,14:30:15,"0.19, -0.11, 0.99","-0.37, -0.24, -0.18"
2025-02-07,14:30:15,"0.19, -0.11, 0.99","-0.24, -0.24, -0.24"
2025-02-07,14:30:16,"0.19, -0.11, 0.99","-0.43, -0.31, -0.24"
2025-02-07,14:30:16,"0.19, -0.11, 0.99","-0.31, -0.24, -0.18"
2025-02-07,14:30:17,"0.19, -0.11, 0.99","-0.37, -0.31, -0.24"
2025-02-07,14:30:17,"0.19, -0.11, 0.99","-0.31, -0.31, -0.18"
2025-02-07,14:30:18,"0.19, -0.11, 0.99","-0.31, -0.31, -0.18"
2025-02-07,14:30:18,"0.19, -0.11, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:30:19,"0.19, -0.11, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:30:19,"0.19, -0.11, 0.99","-0.37, -0.31, -0.24"
2025-02-07,14:30:20,"0.19, -0.11, 0.99","-0.43, -0.31, -0.18"
2025-02-07,14:30:20,"0.19, -0.11, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:30:21,"0.19, -0.11, 0.99","-0.43, -0.31, -0.18"
2025-02-07,14:30:21,"0.19, -0.11, 0.99","-0.37, -0.24, -0.24"
2025-02-07,14:30:22,"0.19, -0.11, 0.99","-0.31, -0.24, -0.24"
2025-02-07,14:30:22,"0.19, -0.11, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:30:23,"0.19, -0.11, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:30:23,"0.19, -0.11, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:30:24,"0.19, -0.11, 0.99","-0.31, -0.31, -0.18"
2025-02-07,14:30:24,"0.19, -0.11, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:30:25,"0.19, -0.11, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:30:25,"0.19, -0.11, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:30:26,"0.19, -0.11, 0.99","-0.43, -0.31, -0.18"
2025-02-07,14:30:26,"0.19, -0.11, 0.99","-0.49, -0.31, -0.18"
