Time,Temperature
11:12:21,30.26
11:12:22,30.65
11:12:23,30.23
11:12:24,30.28
11:12:25,30.16
11:12:26,30.33
11:12:27,30.21
11:12:28,29.95
11:12:29,29.92
11:12:30,29.77
11:12:31,29.75
11:12:32,30.06
11:12:33,30.00
11:12:34,30.20
11:12:35,29.94
11:12:36,30.11
11:12:37,29.99
11:12:38,29.98
11:12:39,30.05
11:12:40,30.16
11:12:41,30.13
11:12:42,30.01
11:12:43,30.12
11:12:44,30.29
11:12:45,30.13
11:12:46,30.32
11:12:47,30.11
11:12:48,30.29
11:12:49,30.21
11:12:50,30.11
11:12:51,30.09
11:12:52,30.05
11:12:53,30.14
11:12:54,30.26
11:12:55,30.27
11:12:56,30.06
11:12:57,30.27
11:12:58,30.46
11:12:59,30.24
11:13:00,30.24
11:13:01,30.32
11:13:02,30.50
11:13:03,30.26
11:13:04,30.18
11:13:05,30.30
11:13:06,30.22
11:13:07,30.32
11:13:08,30.10
11:13:09,30.29
11:13:10,30.41
11:13:11,30.30
11:13:12,30.35
11:13:13,30.26
11:13:14,30.25
11:13:15,30.34
11:13:16,30.52
11:13:17,30.37
11:13:18,30.28
11:13:19,30.46
11:13:20,30.52
11:13:21,30.40
11:13:22,30.52
11:13:23,30.37
11:13:24,30.25
11:13:25,30.32
11:13:26,30.49
11:13:27,31.39
11:13:28,31.49
11:13:29,30.82
11:13:30,30.59
11:13:31,30.66
11:13:32,30.54
11:13:33,30.46
11:13:34,30.64
11:13:35,30.43
11:13:36,30.69
11:13:37,30.60
11:13:38,30.62
11:13:39,30.68
11:13:40,30.53
11:13:41,30.55
11:13:42,30.69
11:13:43,30.57
11:13:44,30.46
11:13:45,30.57
11:13:46,30.60
11:13:47,30.58
11:13:48,30.49
11:13:49,30.71
11:13:50,30.57
11:13:51,30.71
11:13:52,30.77
11:13:53,30.59
11:13:54,30.76
11:13:55,30.57
11:13:56,30.55
11:13:57,30.60
11:13:58,30.65
11:13:59,30.52
11:14:00,30.51
11:14:01,30.60
11:14:02,30.57
11:14:03,30.57
11:14:04,30.49
11:14:05,30.69
11:14:06,30.67
11:14:07,30.66
11:14:08,30.43
11:14:09,30.68
11:14:10,30.73
11:14:11,30.86
11:14:12,30.57
11:14:13,30.61
11:14:14,30.67
11:14:15,30.66
11:14:16,30.78
11:14:17,30.64
11:14:18,30.77
11:14:19,30.56
11:14:20,30.61
11:14:21,30.68
11:14:22,30.78
11:14:23,30.66
11:14:24,30.64
11:14:25,30.61
11:14:26,30.61
11:14:27,30.65
11:14:28,30.71
11:14:29,30.68
11:14:30,30.52
11:14:31,30.67
11:14:32,30.61
11:14:33,30.64
11:14:34,30.80
11:14:35,30.74
11:14:36,30.45
11:14:37,30.66
11:14:38,30.59
11:14:39,30.58
11:14:40,30.47
11:14:41,30.68
11:14:42,30.69
11:14:43,30.61
11:14:44,30.53
11:14:45,30.66
11:14:46,30.56
11:14:47,30.69
11:14:48,30.82
11:14:49,30.68
11:14:50,30.71
11:14:51,30.59
11:14:52,30.81
11:14:53,30.72
11:14:54,30.77
11:14:55,30.65
11:14:56,30.58
11:14:57,30.67
11:14:58,30.83
11:14:59,30.73
11:15:00,30.57
11:15:01,30.62
11:15:02,30.48
11:15:03,30.67
11:15:04,30.80
11:15:05,30.62
11:15:06,30.50
11:15:07,30.71
11:15:08,30.66
11:15:09,30.63
11:15:10,30.63
11:15:11,30.72
11:15:12,30.81
11:15:13,30.63
11:15:14,30.73
11:15:15,30.68
11:15:16,30.60
11:15:17,30.66
11:15:18,30.56
11:15:19,30.72
11:15:20,30.55
11:15:21,30.79
11:15:22,30.72
11:15:23,30.82
11:15:24,30.57
11:15:25,30.75
11:15:26,30.79
11:15:27,30.83
11:15:28,30.63
11:15:29,30.71
11:15:30,30.57
11:15:31,30.69
11:15:32,30.51
11:15:33,30.62
11:15:34,30.52
11:15:35,30.77
11:15:36,30.90
11:15:37,30.65
11:15:38,30.53
11:15:39,30.59
11:15:40,30.84
11:15:41,30.70
11:15:42,30.80
11:15:43,30.72
11:15:44,30.89
11:15:45,30.73
11:15:46,30.54
11:15:47,30.64
11:15:48,30.72
11:15:49,30.69
11:15:50,30.80
11:15:51,30.75
11:15:52,30.83
11:15:53,30.71
11:15:54,30.95
11:15:55,30.75
11:15:56,30.65
11:15:57,30.77
11:15:58,30.75
11:15:59,30.75
11:16:00,30.58
11:16:01,30.85
11:16:02,30.63
11:16:03,30.76
11:16:04,30.61
11:16:05,30.77
11:16:06,30.77
11:16:07,30.66
11:16:08,30.89
11:16:09,30.86
11:16:10,30.71
11:16:11,30.63
11:16:12,30.54
11:16:13,30.68
11:16:14,30.78
11:16:15,30.80
11:16:16,30.55
11:16:17,30.79
11:16:18,30.76
11:16:19,30.80
11:16:20,30.57
11:16:21,30.71
11:16:22,30.70
11:16:23,30.80
11:16:24,30.94
11:16:25,30.82
11:16:26,31.04
11:16:27,30.82
11:16:28,30.56
11:16:29,30.80
11:16:30,30.77
11:16:31,30.78
11:16:32,30.96
11:16:33,30.77
11:16:34,30.60
11:16:35,30.83
11:16:36,30.80
11:16:37,30.81
11:16:38,30.57
11:16:39,30.72
11:16:40,30.66
11:16:41,30.77
11:16:42,30.87
11:16:43,30.72
11:16:44,30.64
11:16:45,30.70
11:16:46,30.52
11:16:47,30.62
11:16:48,30.61
11:16:49,30.70
11:16:50,30.83
11:16:51,30.74
11:16:52,30.77
11:16:53,30.77
11:16:54,30.99
11:16:55,30.75
11:16:56,30.60
11:16:57,30.61
11:16:58,30.70
11:16:59,30.59
11:17:00,30.68
11:17:01,30.71
11:17:02,30.45
11:17:03,30.65
11:17:04,30.75
11:17:05,30.67
11:17:06,30.59
11:17:07,30.71
11:17:08,30.90
11:17:09,30.61
11:17:10,30.83
11:17:11,30.68
11:17:12,30.52
11:17:13,30.65
11:17:14,30.53
11:17:15,30.64
11:17:16,30.75
11:17:17,30.69
11:17:18,30.89
11:17:19,30.66
11:17:20,30.73
11:17:21,30.76
11:17:22,30.67
11:17:23,30.87
11:17:24,30.87
11:17:25,30.71
11:17:26,30.71
11:17:27,30.68
11:17:28,30.65
11:17:29,30.66
11:17:30,30.91
11:17:31,30.69
11:17:32,30.68
11:17:33,30.77
11:17:34,30.61
11:17:35,30.79
11:17:36,30.66
11:17:37,30.85
11:17:38,30.59
11:17:39,30.74
11:17:40,30.68
11:17:41,30.70
11:17:42,30.89
11:17:43,30.69
11:17:44,30.87
11:17:45,30.77
11:17:46,30.88
11:17:47,30.81
11:17:48,30.77
11:17:49,30.86
11:17:50,30.81
11:17:51,30.89
11:17:52,30.79
11:17:53,30.74
11:17:54,30.81
11:17:55,30.61
11:17:56,30.78
11:17:57,30.97
11:17:58,30.71
11:17:59,30.64
11:18:00,30.66
11:18:01,30.86
11:18:02,30.70
11:18:03,30.76
11:18:04,30.79
11:18:05,30.96
11:18:06,30.75
11:18:07,30.80
11:18:08,30.68
11:18:09,30.65
11:18:10,30.66
11:18:11,30.71
11:18:12,30.71
11:18:13,30.63
11:18:14,30.78
11:18:15,30.59
11:18:16,30.65
11:18:17,30.65
11:18:18,30.74
11:18:19,30.78
11:18:20,30.64
11:18:21,30.73
11:18:22,30.68
11:18:23,30.77
11:18:24,30.71
11:18:25,30.67
11:18:26,30.71
11:18:27,30.67
11:18:28,30.71
11:18:29,30.73
11:18:30,30.70
11:18:31,30.64
11:18:32,30.71
11:18:33,30.77
11:18:34,30.70
11:18:35,30.69
11:18:36,30.76
11:18:37,30.69
11:18:38,30.81
11:18:39,30.72
11:18:40,30.71
11:18:41,30.80
11:18:42,30.72
11:18:43,30.62
11:18:44,30.73
11:18:45,30.71
11:18:46,30.68
11:18:47,30.64
11:18:48,30.69
11:18:49,30.87
11:18:50,30.82
11:18:51,30.75
11:18:52,30.71
11:18:53,30.66
11:18:54,30.75
11:18:55,30.71
11:18:56,30.82
11:18:57,30.72
11:18:58,30.79
11:18:59,30.75
11:19:00,30.69
11:19:01,30.75
11:19:02,30.68
11:19:03,30.74
11:19:04,30.78
11:19:05,30.76
11:19:06,30.80
11:19:07,30.73
11:19:08,30.80
11:19:09,30.84
11:19:10,30.89
11:19:11,30.88
11:19:12,30.86
11:19:13,30.80
11:19:14,30.86
11:19:15,30.75
11:19:16,30.74
11:19:17,30.76
11:19:18,30.84
11:19:19,30.73
11:19:20,30.68
11:19:21,30.88
11:19:22,30.76
11:19:23,30.86
11:19:24,30.91
11:19:25,30.80
11:19:26,30.75
11:19:27,30.79
11:19:28,30.72
11:19:29,30.77
11:19:30,30.75
11:19:31,30.79
11:19:32,30.81
11:19:33,30.79
11:19:34,30.89
11:19:35,30.82
11:19:36,30.83
11:19:37,30.84
11:19:38,30.84
11:19:39,30.71
11:19:40,30.85
11:19:41,30.83
11:19:42,30.65
11:19:43,30.66
11:19:44,30.69
11:19:45,30.63
11:19:46,30.70
11:19:47,30.67
11:19:48,30.77
11:19:49,30.68
11:19:50,30.65
11:19:51,30.71
11:19:52,30.72
11:19:53,30.69
11:19:54,30.77
11:19:55,30.79
11:19:56,30.80
11:19:57,30.67
11:19:58,30.64
11:19:59,30.71
11:20:00,30.64
11:20:01,30.68
11:20:02,30.73
11:20:03,30.73
11:20:04,30.62
11:20:05,30.69
11:20:06,30.74
11:20:07,30.73
11:20:08,30.81
11:20:09,30.67
11:20:10,30.84
11:20:11,30.76
11:20:12,30.79
11:20:13,30.67
11:20:14,30.74
11:20:15,30.73
11:20:16,30.80
11:20:17,30.69
11:20:18,30.67
11:20:19,30.80
11:20:20,30.74
11:20:21,30.75
11:20:22,30.82
11:20:23,30.74
11:20:24,30.78
11:20:25,30.80
11:20:26,30.75
11:20:27,30.71
11:20:28,30.69
11:20:29,30.69
11:20:30,30.70
11:20:31,30.67
11:20:32,30.67
11:20:33,30.68
11:20:34,30.68
11:20:35,30.73
11:20:36,30.71
11:20:37,30.67
11:20:38,30.67
11:20:39,30.68
11:20:40,30.67
11:20:41,30.66
11:20:42,30.64
11:20:43,30.68
11:20:44,30.70
11:20:45,30.74
11:20:46,30.65
11:20:47,30.74
11:20:48,30.69
11:20:49,30.73
11:20:50,30.68
11:20:51,30.65
11:20:52,30.60
11:20:53,30.71
11:20:54,30.61
11:20:55,30.53
11:20:56,30.53
11:20:57,30.57
11:20:58,30.61
11:20:59,30.61
11:21:00,30.62
11:21:01,30.64
11:21:02,30.61
11:21:03,30.59
11:21:04,30.60
11:21:05,30.66
11:21:06,30.65
11:21:07,30.61
11:21:08,30.59
11:21:09,30.59
11:21:10,30.60
11:21:11,30.66
11:21:12,30.57
11:21:13,30.64
11:21:14,30.70
11:21:15,30.56
11:21:16,30.52
11:21:17,30.61
11:21:18,30.63
11:21:19,30.65
11:21:20,30.66
11:21:21,30.66
11:21:22,30.73
11:21:23,30.60
11:21:24,30.64
11:21:25,30.68
11:21:26,30.71
11:21:27,30.58
11:21:28,30.73
11:21:29,30.73
11:21:30,30.74
11:21:31,30.65
11:21:32,30.72
11:21:33,30.75
11:21:34,30.74
11:21:35,30.68
11:21:36,30.81
11:21:37,30.71
11:21:38,30.52
11:21:39,31.07
11:21:40,30.86
11:21:41,30.64
11:21:42,30.56
11:21:43,30.73
11:21:44,30.91
11:21:45,30.80
11:21:46,30.84
11:21:47,30.69
11:21:48,30.71
11:21:49,30.66
11:21:50,30.54
11:21:51,30.66
11:21:52,30.54
11:21:53,30.62
11:21:54,30.71
11:21:55,30.65
11:21:56,30.80
11:21:57,30.66
11:21:58,30.45
11:21:59,30.62
11:22:00,30.66
11:22:01,30.64
11:22:02,30.66
11:22:03,30.70
11:22:04,30.79
11:22:05,30.76
11:22:06,30.71
11:22:07,30.70
11:22:08,30.89
11:22:09,30.67
11:22:10,30.70
11:22:11,30.60
11:22:12,30.80
11:22:13,30.57
11:22:14,30.51
11:22:15,30.76
11:22:16,30.68
11:22:17,30.65
11:22:18,30.73
11:22:19,30.71
11:22:20,30.69
11:22:21,30.79
11:22:22,30.90
11:22:23,30.73
11:22:24,30.61
11:22:25,30.71
11:22:26,30.57
11:22:27,30.63
11:22:28,30.76
11:22:29,30.70
11:22:30,30.80
11:22:31,30.69
11:22:32,30.84
11:22:33,30.80
11:22:34,30.75
11:22:35,30.69
